제품명,제품군 대분류,제품군 중분류,제품군 소분류,업체명,업체주소,생산지,출처,처분권자,조치일자,조치내용,위반내용,기타
뽀송뽀송 규조토 세라믹탈취제,기타류,"습기제거제, 탈취제",탈취제/살균제/습기제거제,"[판매] ㈜씨제이이엔엠(1588-1555, 02-2107-0754)","서울특별시 서초구 과천대로 870-13, 1층(방배동)",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-30,"판매금지, 회수명령","안전·표시기준 위반[신고 미실시 및 표시사항 미표기]",신고증명서 발급(2022.01.19)) 이전 제품이 회수대상이므로 신고번호(GB21-13-1379) 표시제품 유통 가능
"석고방향제(8인용)(올리브리퀴드, 후로랄 가든 향)",방향제류,방향제,방향제,[판매] 창의모아 (031-360-1205),"경기도 안양시 동안구 시민대로 167, 610호",-,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-30,"판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기]",
유니케어,살생물제류,살균제,살균제,[판매] 유니폼마켓,"충청남도 천안시 서북구 한들1로 91, 2동 109호",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,금강유역환경청,2022-09-22,"판매금지, 회수명령","안전확인검사 미실시, 표시사항 미표기",
도도센트 바다왁스타블렛(아쿠아 향),방향제류,방향제,방향제,[제조/판매] 도도센트,"충청남도 당진시 대덕1로 102, 103동 1703호",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,금강유역환경청,2022-09-23,"제조금지, 판매금지, 회수명령","안전확인검사 미실시, 표시사항 미표기",
계피스프레이,방향제류,"방향제, 탈취제, 살균제, 보건용 기피제",방향제/탈취제/살균제/보건용 살충제/보건용 기피제,[제조/판매] 데일리마켓,충청북도 청주시 흥덕구 옥산면 오산2길 28,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,금강유역환경청,2022-09-26,"제조금지, 판매금지, 회수명령","안전확인검사 미실시, 표시사항 미표기",자가검사 실시하였으나(G-A09B-F00010002-A180) 품목 오인 문구 기재
벨르래라 수제향수(떼누아29),방향제류,방향제,방향제,[제조/판매] 래라샵,경기 부천 상이로51번길 7-21,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-28,"제조금지, 판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기]",
미니카네이션티라이트,기타류,초,초,[제조/판매] 미래공방,"경기도 화성시 송산면 사강시장길 39, 1동 1층 3호",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-26,"제조금지, 판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기]",
캔들키세스 향초,기타류,초,초,[제조/판매] 소피아진 공방,"서울특별시 서대문구 연희로36길 10, 205호(연희동)",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-26,"제조금지, 판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기]",
수리키트 접착제,코팅/접착제류,접착제,접착제,[판매] 에픽데코 ,인천 연수구 송도미래로 30 C동 2008호,중국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-20,"판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기]",
수리키트 접착제,코팅/접착제류,접착제,접착제,[판매] 미니미니멀 (070-8064-2812),서울시 구로구 가마산로 231 ,중국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-20,"판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기]",
내츄럴트리 휠세정제,세제류,세정제,세정제,[제조] ㈜아로마비즈 (032-543-9835),인천 계양구 아나지로 471번길 12,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-26,"제조금지, 판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기]",
메디해리,기타류,"살균제, 탈취제",탈취제·살균제,[판매] ㈜제일헬스케어 (070-7525-5946),경기 남양주시 오남읍 양지로281번길96-28,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-26,"판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기]",
사월의 향기 소이캔들 바닷바람향,방향제류,방향제,방향제,[제조/판매] 사월의향기 ,"인천광역시 중구 영종대로27번길 9, 522동 302호",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-26,"제조금지, 판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기]",
당근케익캔들(에끌라드 아르페쥬 향),기타류,초,초,[제조] 라포즈 ,"경기도 수원시 팔달구 신풍로23번길 4, 1층",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-26,"제조금지, 판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기]",
당근케익캔들(에끌라드 아르페쥬 향),기타류,초,초,[판매] 하이시리얼(플럭스코스메틱) ,"경기도 수원시 팔달구 신풍로23번길 4, 1층",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-26,"판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기]",
뷰티스트림 규조토  습기 제거제,기타류,습기제거제,습기제거제,[수입/판매] 뷰티스트림 주식회사 (031-921-5901),"경기도 고양시 일산서구 가좌로 54, 1동 2층 202호(가좌동)",,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-21,"수입금지, 판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 확인 미실시 및 표시사항 미표기]",
보앤시스 룸 리프레셔 (꽃집향기 floral),방향제류,방향제,방향제,[제조/판매] 보앤시스 (070-7504-7004),"서울특별시 서초구 서운로160, 301호 (팔레스빌딩)",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-21,"제조금지, 판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 확인 미실시 및 표시사항 미표기]",
나인문 카메오 사각캔들(사랑 향),기타류,초,초,[제조/판매] 나인문,"경기도 수원시 권선구 세지로12번길 30, 1층",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-20,"제조금지, 판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 확인 미실시 및 표시사항 미표기]",
나인문 허니캔디캔들,기타류,초,초,[제조/판매] 나인문,"경기도 수원시 권선구 세지로12번길 30, 1층",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-20,"제조금지, 판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 확인 미실시 및 표시사항 미표기]",
씨엠 프리미엄 연장 글루,미용제품,미용 접착제,미용 접착제,[제조/판매] 주식회사 엘씨나인(1877-7184),"경기도 부천시 평천로 832번길 42, 에이동 4충",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-20,"제조금지, 판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 확인 미실시 및 표시사항 미표기]",
컵키트 석고타블렛 DIY - 상큼한 유자 향,방향제류,방향제,방향제,[제조/판매] 아로마라이프랩(02-6338-4009),"서울시 마포구 포은로 82, 2층",,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-20,"제조금지, 판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 확인 미실시 및 표시사항 미표기]",
도나와 아이래쉬 글루,미용제품,미용 접착제,미용 접착제,[제조/판매] ㈜다성티엔티(032-672-0556),경기도 부천시 산업로8번길 29 (오정동),대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-20,"제조금지, 판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 확인 미실시 및 표시사항 미표기]",
너는 사랑 캔들(레몬&라벤더 향),기타류,초,초,[제조/판매] 아띠젠트,"경기도 고양시 일산동구 마골1길 38-22, 1층 (성석동)",-,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-20,"제조금지, 판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 확인 미실시 및 표시사항 미표기]",
수국 우드볼 디퓨저(헤스페리데스 향),방향제류,방향제,방향제,[제조/판매] 아띠젠트,"경기도 고양시 일산동구 마골1길 38-22, 1층 (성석동)",-,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-20,"제조금지, 판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 확인 미실시 및 표시사항 미표기]",
향수병 스탠딩 방향제(잉글리쉬페어&프리지아 향),방향제류,방향제,방향제,[제조/판매] 아띠젠트,"경기도 고양시 일산동구 마골1길 38-22, 1층 (성석동)",-,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-20,"제조금지, 판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 확인 미실시 및 표시사항 미표기]",
곰돌이캔들(다우니에이프릴 향),기타류,초,초,[제조/판매] 꼬순이네,"인천광역시 서구 완정로117번길 3-3 (왕길동, 블리스타운) 1차 303호",-,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-19,"제조금지, 판매금지, 회수명령","안전·표시기준 위반[신고 미실시 및 표시사항 미표기]",
하늘조개 소이캔들(레몬 향),기타류,초,초,[제조/판매] 꼬순이네,"인천광역시 서구 완정로117번길 3-3 (왕길동, 블리스타운) 1차 303호",-,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-19,"제조금지, 판매금지, 회수명령","안전·표시기준 위반[신고 미실시 및 표시사항 미표기]",
화이트로즈 디퓨저(레몬 향),방향제류,방향제,방향제,[제조/판매] 꼬순이네,"인천광역시 서구 완정로117번길 3-3 (왕길동, 블리스타운) 1차 303호",-,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-19,"제조금지, 판매금지, 회수명령","안전·표시기준 위반[신고 미실시 및 표시사항 미표기]",
하트스누피& 찰리 차량용 방향제(가든파티 향),방향제류,방향제,방향제,[제조/판매] 꼬순이네,"인천광역시 서구 완정로117번길 3-3 (왕길동, 블리스타운) 1차 303호",-,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-19,"제조금지, 판매금지, 회수명령","안전·표시기준 위반[신고 미실시 및 표시사항 미표기]",
SEALANT FIX,코팅/접착제류,접착제,접착제,[수입/판매] 데코레시피 (070-8885-1104),"경기도 시흥시 서울대학로 59-21, 9016호 (배곧로얄팰리스테크노 1차)",독일,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-16,"수입금지, 판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 확인 미실시 및 표시사항 미표기]",
컨베이지 캔들(피치 향),기타류,초,초,[제조/판매] ㈜프로젝트1424 (02-401-1424),서울특별시 강동구 천호대로 1224 2층,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-20,"판매금지, 회수명령","안전·표시기준 위반[신고 미실시 및 표시사항 미표기]",신고증명서 발급(2022.07.29.) 이전 제품이 회수대상이므로 신고번호(HB21-26-0334) 표시제품 유통 가능
컨베이지 드레스퍼퓸 (라 그라시아),방향제류,방향제,방향제,[제조/판매] ㈜프로젝트1424 (02-401-1424),서울특별시 강동구 천호대로 1224 2층,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-20,"판매금지, 회수명령","안전·표시기준 위반[신고 미실시 및 표시사항 미표기]",신고증명서 발급(2022.06.24)) 이전 제품이 회수대상이므로 신고번호(HB21-12-0973) 표시제품 유통 가능
컨베이지 석고방향제 (라 그라시아),방향제류,방향제,방향제,[제조/판매] ㈜프로젝트1424 (02-401-1424),서울특별시 강동구 천호대로 1224 2층,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-20,"제조금지, 판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 확인 미실시 및 표시사항 미표기]",
virus kill sanitizer(바이러스킬 새니타이저),살생물제류,살균제,살균제,[판매] 주식회사 누리어스글로벌(031-986-0804),경기도 김포시 태장로 741 3층 344호,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-16," 판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 확인 미실시 및 표시사항 미표기]",제조업체 제이에스어드바이저리에서 신고증명서 발급(2021.10.19) 이전 제품이 회수대상으로 신고번호(제GB21-21-1236호) 표시 등 안전기준 및 표시기준 준수 제품 유통 가능
그랜즈레미디(페퍼민트향),방향제류,탈취제,탈취제,[판매] 헬스터치코리아,"서울특별시 송파구 충민로188, 101-802",뉴질랜드,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-19,"판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 확인 미실시 및 표시사항 미표기]",
스타브라이트 화이트,미용제품,문신용 염료,문신용 염료,[수입] 티서플라이,"서울특별시 마포구 신촌로4길 5/21, 2층(동교동, 신도엘피스)",,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-19,"수입금지, 판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 확인 미실시 및 표시사항 미표기]",
스타브라이트 화이트,미용제품,문신용 염료,문신용 염료,[판매] 네오,"서울특별시 마포구 와우산로3길24, 4,5층",,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-19,"판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 확인 미실시 및 표시사항 미표기]",
wrinkle free 기능성 스프레이 다리미 60ml,코팅/접착제류,다림질보조제,다림질보조제,[제조] 엠와이㈜ (1566-7180),경기 광주 곤지암읍 신만로436번길 5,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-15,"제조금지,판매금지,회수명령","안전·표시기준 위반[신고 미실시 및 표시사항 미표기]",신고번호HB21-09-0917기재하여 2021-06-15이후 제조한 제품은 유통가능
R2 순간접착제 제거제/세정제,세제류,세정제품/제거제,제거제,[판매] 명진상사 (02-2275-4180),서울특별시 종로구 돈화문로 8-1 (장사동),대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-15,"판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 확인 미실시 및 표시사항 미표기]",산업체 전용 제품으로 사업자등록증 확인 후 사업자에게만 판매가능
"모모캔들(블랙체리향)",방향제류,방향제,방향제,[제조/판매] 모든날모든순간(0507-1332-4143),"광주광역시 서구 화운로 128(화정동) ",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,영산강유역환경청,2022-09-15,"제조금지, 판매금지, 회수명령","○ 안전기준확인을 받지 않고, 표시사항을 전체 미표기한 제품 제조·판매","○ 안전기준확인을 받지 않고, 표시사항을 전체 미표기한 제품 제조·판매"
바이라라 디퓨저(엠버향),방향제류,방향제,방향제,[제조/판매] 바이라라 ,"경기도 화성시 동탄대로2길 19, 3207동 1504호(장지동)",-,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-08,"제조금지, 판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 확인 미실시 및 표시사항 미표기]",
바이라라 소이캔들(산타마리아 무스치오향),기타류,초,초,[제조/판매] 바이라라 ,"경기도 화성시 동탄대로2길 19, 3207동 1504호(장지동)",-,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-08,"제조금지, 판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 확인 미실시 및 표시사항 미표기]",
향기로 채우다 석고 방향제(딥디크(도손)),방향제류,방향제,방향제,[제조/판매] 향기로 채우다 ,"인천광역시 연수구 청솔로 14, 1층 (청학동, 한라주택)",-,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-14,"제조금지, 판매금지, 회수명령","안전·표시기준 위반[신고 미실시 및 표시사항 미표기]",
래핑찰리 이지 세이프클립,방향제류,방향제,방향제,[제조] ㈜엠팩플러스 (02-929-7104),"서울특별시 동대문구 왕산로28길 55, 102호 (용두동)",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-14,"제조금지, 판매금지, 회수명령","안전·표시기준 위반[신고 미실시 및 표시사항 미표기]",신고증명서 발급(2022.6.22.) 이전 제품이 회수대상이므로 신고번호(FB21-12-0673) 표시제품 유통 가능
 큐브이(QVE),방향제류,탈취제,탈취제/이산화염소 지속방출형 제품(생활공간용) ,[제조] 주식회사 큐브이 (070-8152-7774),"서울특별시 성동구 상원10길 23, B1호(성수동1가)",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-14,"제조금지, 판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 확인, 승인 미실시 및 표시사항 미표기]"," 제CB21-21-0902호로 신고한 제품(제품명: QVE(큐브))은 확인·신고한 품목(살균제-밀폐공간용)으로 제조, 판매 가능"
 큐브이(QVE),방향제류,탈취제,탈취제/이산화염소 지속방출형 제품(생활공간용) ,[판매] 주식회사 휴비즈 (02-3409-2664),"서울특별시 성동구 아차산로17길 49, RB101호, RB102호, RB103호(성수동2가, 생각공장 데시앙플렉스)",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-14,"판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 확인, 승인 미실시 및 표시사항 미표기]"," 제CB21-21-0902호로 신고한 제품(제품명: QVE(큐브))은 확인·신고한 품목(살균제-밀폐공간용)으로 제조, 판매 가능"
WET WIPES,세제류,세정제품/제거제,제거제,[수입/판매] 라잇굿즈 ,"경기도 부천시 중동로 147번길 32, 402호(중동, 가인빌하이)",,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-14,"수입금지, 판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 확인 미실시 및 표시사항 미표기]",
로즈 차량 방향제 디퓨져 50ml(넥타린&허니향),방향제류,방향제,방향제,[제조/판매] 취향 ,"경기도 고양시 일산서구 덕이로 212, 2층 202호 (덕이동)",-,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-06,"제조금지, 판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 확인 미실시 및 표시사항 미표기]",
취향디퓨저(라일락블라썸 향),방향제류,방향제,방향제,[제조/판매] 취향 ,"경기도 고양시 일산서구 덕이로 212, 2층 202호 (덕이동)",-,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-06,"제조금지, 판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 확인 미실시 및 표시사항 미표기]","디퓨저(용량: 70ml) 대표 및 파생 신고 완료하여, 신고번호(CB20-12-1018) 표시 70ml 제품 유통가능"
취향 캔들(엘레니시아 향),기타류,초,초,[제조/판매] 취향 ,"경기도 고양시 일산서구 덕이로 212, 2층 202호 (덕이동)",-,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-06,"제조금지, 판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 확인 미실시 및 표시사항 미표기]","캔들(용량: 150g) 대표 및 파생 신고 완료하여, 신고번호(CB20-26-1553) 표시 150g 제품 유통가능"
취향캔들(가든스윗피),기타류,초,초,[제조/판매] 취향 ,"경기도 고양시 일산서구 덕이로 212, 2층 202호 (덕이동)",-,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-06,"제조금지, 판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 확인 미실시 및 표시사항 미표기]","캔들(용량: 150g) 대표 및 파생 신고 완료하여, 신고번호(CB20-26-1553) 표시 150g 제품 유통가능"
2500 젤 캔들,기타류,초,초,[수입] 주식회사 점프,"경기도 김포시 태장로 765, 6층 624호(장기동, 금광 테크노밸리지식산업센터)",중국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-06,"수입금지, 판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 확인 미실시 및 표시사항 미표기]",제품에 수입자로 표기된 미소로는 주식회사 점프로 확인됨
크리스마스 캔들 선물 세트 410ml(엘레니시아향),기타류,초,초,[제조/판매] 취향 ,"경기도 고양시 일산서구 덕이로 212, 2층 202호 (덕이동)",-,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-06,"제조금지, 판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 확인 미실시 및 표시사항 미표기]",
크리스마스 캔들 선물 세트 410ml(프레쉬뱀부향),기타류,초,초,[제조/판매] 취향 ,"경기도 고양시 일산서구 덕이로 212, 2층 202호 (덕이동)",-,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-06,"제조금지, 판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 확인 미실시 및 표시사항 미표기]",
virus kill sanitizer(바이러스킬 새니타이저),살생물제류,살균제,살균제,[제조] 주식회사 제이에스어드바이저리(02-953-7711),"경기도 고양시 덕양구 호국로 859, 113동 501호(성사동)",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-02,"제조금지, 판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 확인 미실시 및 표시사항 미표기]",안전기준 적합확인 신고(제GB21-21-1236호) 완료(2021.10.19.)한 제품에 대하여 안전·표시기준을 준수하여 제조·판매 가능
분코 이너프 섬유유연제,세제류,섬유유연제,섬유유연제,[제조] 주식회사 씨엔이 (031-351-7536),경기도 화성시 서신면 전곡산단15길 8,-,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-05,"제조금지, 판매금지, 회수명령","안전·표시기준 위반[신고 미실시 및 표시사항 미표기]",신고증명서 발급(2021.4.6.) 이전 제품이 회수대상이므로 신고번호(FB20-05-0094) 표시제품 유통 가능
올데스 350g,살생물제류,보건용 살충제,보건용 살충제,[판매] 마당클럽 (02-2237-7429),서울 동대문구 용두동 235-34,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-02,"판매금지, 회수명령","안전·표시기준 위반[승인 미실시 및 표시사항 미표기]","판매페이지의 제목과 본문 및 제품의 겉면에 ""동물용의약외품""이라고 명시한 제품은 화학제품법에 따른 차단 대상이 되지 아니함"
올데스 350g,살생물제류,보건용 살충제,보건용 살충제,[판매] 어보이드마켓 ,인천 서구 불로동 372,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-02,"판매금지, 회수명령","안전·표시기준 위반[승인 미실시 및 표시사항 미표기]","판매페이지의 제목과 본문 및 제품의 겉면에 ""동물용의약외품""이라고 명시한 제품은 화학제품법에 따른 차단 대상이 되지 아니함"
올데스유제 500ml,살생물제류,보건용 살충제,보건용 살충제,[판매] 어보이드마켓 ,인천 서구 불로동 372,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-02,"판매금지, 회수명령","안전·표시기준 위반[승인 미실시 및 표시사항 미표기]","판매페이지의 제목과 본문 및 제품의 겉면에 ""동물용의약외품""이라고 명시한 제품은 화학제품법에 따른 차단 대상이 되지 아니함"
올데스 350g,살생물제류,보건용 살충제,보건용 살충제,"[제조] ㈜뉴케이팜(구, 케이팜) (031-982-6503)",경기도 김포시 대곶면 송마로 99,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-08-30,"제조금지,판매금지,회수명령","안전·표시기준 위반[승인 미실시 및 표시사항 미표기]","판매페이지의 제목과 본문 및 제품의 겉면에 ""동물용의약외품""이라고 명시한 제품은 화학제품법에 따른 차단 대상이 되지 아니함"
올데스유제 500ml,살생물제류,보건용 살충제,보건용 살충제,"[제조] ㈜뉴케이팜(구, 케이팜) (031-982-6503)",경기도 김포시 대곶면 송마로 99,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-08-30,"제조금지,판매금지,회수명령","안전·표시기준 위반[승인 미실시 및 표시사항 미표기]","판매페이지의 제목과 본문 및 제품의 겉면에 ""동물용의약외품""이라고 명시한 제품은 화학제품법에 따른 차단 대상이 되지 아니함"
바이슈기 석고 방향제(피오니 작약),방향제류,방향제,방향제,[제조/판매] 바이슈기(By Syugi) ,"경기도 시흥시 대은로104번길 24, 1층 (은행동)",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-09-01,"제조금지, 판매금지, 회수명령","안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기]",신고증명서 발급 이전 제품이 회수대상이므로 신고번호(CB22-12-0934) 표시제품 유통 가능
커피곰 석고방향제 (블랙베리&베이),방향제류,방향제,방향제,[제조/판매] 츄츄시아,"경기도 용인시 수지구 수지로342번길 18, 101동 808호(풍덕천동, 현대아파트)",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-08-30,"제조금지, 판매금지, 회수명령","안전·표시기준 위반[신고 미실시 및 표시사항 미표기]",신고증명서 발급(2022.6.21) 이전 제품이 회수대상이므로 신고번호(HB21-12-0756) 표시제품 유통 가능
끈끈이제거왕,세제류,세정제품/제거제,제거제,[제조/판매] 주식회사 세종바이오(070-8683-6704),(제조/판매)대구광역시 동구 반야월북로 49,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,대구지방환경청,2022-08-31,"제조금지, 판매금지, 회수명령","확인받은 내용과 다르게 생활화학제품 제조(""납"" 안전기준 초과)",신고번호 제EB20-02-0145호 사용 제품 모두 회수
하트 석고방향제(라일락),방향제류,방향제,방향제,[제조/판매] 정多공방,"(제조/판매)경상북도 경주시 유림로21, 105동 1903호",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,대구지방환경청,2022-08-31,"제조금지, 판매금지, 회수명령",안전기준적합 파생신고 미실시 및 표시기준 위반제품 제조·판매,
룸스프레이(스파 향),기타류,"방향제, 탈취제","방향제, 탈취제",[제조/판매] 바이더룸(by_theroom),"(제조/판매)경상북도 구미시 송동로2길 43, 102동 205호",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,대구지방환경청,2022-08-31,"제조금지, 판매금지, 회수명령",안전기준적합 확인 미실시 및 표시기준 위반제품 제조·판매,
차량용 방향제(스프링플라워 향),방향제류,방향제,방향제,[제조/판매] 바이더룸(by_theroom),"(제조/판매)경상북도 구미시 송동로2길 43, 102동 205호",대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,대구지방환경청,2022-08-31,"제조금지, 판매금지, 회수명령",안전기준적합 확인 미실시 및 표시기준 위반제품 제조·판매,
chanel 진주하트로고(샤넬 마드모아젤),방향제류,방향제,방향제,[제조/판매] 몽슈슈 스튜디오,(제조/판매)대구광역시 달서구 중흥로8길 84,대한민국,생활화학제품 및 살생물제의 안전관리에 관한 법률,대구지방환경청,2022-08-31,"제조금지, 판매금지, 회수명령",안전기준적합 확인 미실시 및 표시기준 위반제품 제조·판매,
제습인형 리얼펫 대형 웰시코기,기타류,"습기제거제, 탈취제",탈취제/살균제/습기제거제,[수입/판매] 주식회사 에코벨(070-4693-1001),인천광역시 서구 원당대로608번 안길 9-48,중국,생활화학제품 및 살생물제의 안전관리에 관한 법률,한강유역환경청,2022-08-26,"수입금지, 판매금지, 회수명령",안전·표시기준 위반[안전기준 적합확인 미실시 및 표시사항 미표기],신고증명서 발급(2022.01.25) 이전 제품이 회수대상이므로 신고번호(DB21-27-0888) 표시제품 유통 가능
